A,B,C,D,E,F,G,H,I,J,K,L,M
1,4,2,2,0,0,0,1,0,2,4,0,1
2,1,1,5,0,0,0,2,0,1,3,0,0
2,2,2,3,15,0,0,1,1,2,2,109,20
2,1,9,4,119,36,41,3,0,8,3,71,8
21,0,26,4,118,55,60,24,0,29,3,56,0
28,0,32,4,102,55,56,37,1,29,2,15,1
29,1,29,3,9,48,12,20,0,28,4,1,0
26,0,10,5,0,0,0,3,0,2,2,0,0
2,2,2,1,0,0,0,2,0,1,4,0,0
1,0,1,4,0,0,0,1,1,2,3,2,0
2,0,2,5,22,0,0,1,0,1,3,92,42
2,0,9,3,117,40,44,4,1,7,2,70,26
20,1,31,3,128,55,58,28,0,34,3,59,1
32,1,31,4,91,60,62,29,0,29,2,14,0
30,0,28,3,10,45,3,28,0,20,5,1,0
20,0,15,4,0,0,0,1,0,2,2,0,0
2,0,1,4,0,0,0,2,0,1,3,0,0
2,1,2,3,0,0,0,1,0,2,3,0,1
1,1,2,4,27,0,0,2,0,1,4,118,47
4,0,11,3,125,41,45,3,0,5,2,68,36
27,1,25,3,116,59,62,32,0,32,3,46,4
31,1,28,4,93,56,62,33,1,31,2,1,0
25,1,33,3,0,22,14,31,0,26,3,0,0
9,1,4,4,0,0,0,3,1,1,3,0,0
1,0,1,5,0,0,0,1,0,2,3,0,1
2,0,2,3,0,0,0,1,0,1,4,0,0
2,0,2,3,21,0,0,2,0,2,1,91,36
2,0,10,3,117,43,38,3,0,9,3,71,30
22,0,30,4,119,56,61,26,0,29,3,47,3
34,1,28,4,105,50,57,31,1,25,2,8,0
27,1,28,2,0,35,22,28,0,26,3,0,0
14,0,6,5,0,0,0,14,0,1,4,0,1
2,1,2,3,0,0,0,1,0,2,3,2,0
1,1,2,4,0,0,0,2,1,1,3,0,0
2,0,2,4,20,0,0,1,0,1,2,102,26
2,0,12,3,123,41,37,3,0,9,4,81,39
24,0,22,4,121,58,64,24,0,30,3,45,0
37,1,32,2,103,55,61,35,0,33,3,8,0
24,2,29,3,0,32,19,36,0,20,2,0,0
17,0,4,6,0,0,0,4,1,2,3,0,0
2,0,2,2,0,0,0,1,0,1,3,1,0
2,0,2,4,0,0,0,2,0,2,3,0,1
1,1,2,4,20,0,0,1,0,1,3,100,33
5,0,6,4,140,41,41,4,0,11,2,85,20
25,1,30,1,124,61,65,28,0,28,3,47,0
31,1,31,4,79,54,63,28,0,36,2,4,1
28,1,28,6,0,30,8,25,0,28,4,1,0
15,0,5,2,0,0,0,2,0,2,3,1,0
1,1,2,2,0,0,0,2,0,1,3,0,0
2,0,2,5,0,0,0,1,1,2,2,0,0
2,1,2,2,16,0,0,1,0,1,4,87,43
1,2,6,3,116,36,41,5,1,8,2,66,18
27,1,28,5,117,53,58,20,0,26,3,54,12
25,0,31,5,94,56,56,39,0,21,3,37,0
24,0,28,4,23,50,15,37,0,24,3,0,0
25,1,18,3,0,1,0,3,0,1,3,0,0
2,1,2,2,0,0,0,2,0,2,2,0,0
1,3,2,3,0,0,0,1,1,1,3,0,0
2,2,2,3,27,0,0,2,0,2,3,95,56
4,2,9,6,126,45,41,3,0,10,4,76,39
25,0,32,3,127,63,62,20,0,36,1,33,4
31,0,31,4,84,61,58,34,2,26,2,1,0
27,0,35,4,0,18,16,31,1,27,4,0,0
8,2,2,2,0,0,0,3,0,1,5,0,0
2,0,2,4,0,0,0,1,0,1,2,1,1
2,0,2,4,0,0,0,1,0,2,3,0,1
1,1,2,3,21,0,0,2,0,1,1,108,24
3,0,7,4,124,38,42,1,0,8,4,86,12
23,2,26,1,96,56,55,25,1,31,2,64,6
31,0,31,4,120,51,55,32,0,26,4,10,0
28,0,26,6,3,36,31,32,1,29,1,3,0
18,1,6,1,0,0,0,11,1,3,5,1,0
1,1,2,6,0,0,0,1,0,1,3,0,1
2,0,2,4,0,0,0,2,0,2,1,0,0
2,0,2,2,19,0,0,1,1,1,3,95,21
1,2,10,2,125,40,43,3,0,11,4,66,7
23,0,25,5,125,60,59,27,0,22,2,48,0
35,0,31,2,85,59,54,35,0,27,2,14,0
29,1,30,1,8,47,0,19,0,20,2,1,0
18,0,15,3,0,0,0,0,0,1,2,0,0
1,1,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,1,1,0,1,0,1
1,1,1,2,17,0,0,1,0,1,1,84,21
1,0,5,2,133,35,45,3,0,10,3,50,0
17,2,32,2,88,61,58,25,0,30,2,15,0
29,0,36,3,0,38,1,21,0,21,2,0,0
18,0,4,2,0,0,0,0,1,1,2,0,0
1,0,1,3,0,0,0,1,0,1,0,0,0
1,1,2,1,0,0,0,1,0,1,3,0,0
1,1,1,2,0,0,0,1,0,0,2,0,0
1,1,1,2,18,0,0,1,0,1,2,96,13
1,0,9,3,126,39,39,3,0,9,1,61,3
19,0,29,2,95,59,60,24,0,26,2,6,0
38,0,22,2,0,28,14,32,0,21,2,1,0
7,0,9,2,0,0,0,4,0,1,1,0,0
1,2,1,1,0,0,0,1,1,1,2,0,0
1,1,2,3,0,0,0,1,1,1,1,0,0
1,0,1,2,0,0,0,1,0,0,2,0,0
1,1,1,1,24,0,0,0,1,1,2,88,27
1,1,8,3,121,37,42,1,0,5,2,37,4
17,1,32,2,93,61,60,28,1,36,0,2,0
34,2,26,2,0,29,9,23,0,20,4,0,0
16,1,1,3,0,0,0,5,0,1,1,2,0
1,0,1,2,0,0,0,1,0,1,2,1,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,1,2,2,0,0,0,0,1,1,1,0,0
1,0,1,2,19,0,0,1,0,0,2,70,16
1,0,10,2,134,42,38,1,0,5,2,42,4
22,0,31,2,86,62,62,25,0,28,1,1,0
29,0,27,3,0,19,16,38,0,19,2,0,0
10,0,1,2,0,0,0,6,0,1,1,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,2,1,1,0,0,0,1,0,1,2,1,0
1,0,2,3,0,0,0,1,0,1,1,0,0
1,1,1,2,21,0,0,1,1,0,2,71,17
2,0,4,2,127,38,44,1,0,7,2,39,4
27,0,23,2,89,62,62,26,0,28,2,0,0
30,2,24,2,0,16,14,37,0,24,2,0,1
13,1,1,3,0,0,0,3,1,1,1,0,0
1,0,1,2,0,0,0,1,0,1,2,1,0
1,2,1,0,0,0,0,1,0,1,2,0,0
1,0,1,4,0,0,0,1,0,1,2,0,0
1,1,2,2,17,0,0,1,1,1,1,79,45
1,0,9,3,128,42,38,1,0,5,2,38,15
22,0,30,2,95,59,61,22,0,26,2,0,0
31,1,30,1,0,20,20,41,0,24,1,1,0
5,1,1,3,0,0,0,5,0,1,2,0,0
1,1,1,2,0,0,0,1,0,1,2,0,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,0,0,1,3,0,0
1,1,2,3,15,0,0,1,0,1,1,77,22
1,0,4,1,138,39,42,2,0,7,2,48,5
15,1,36,2,84,60,60,25,1,32,1,4,0
33,0,29,3,0,24,12,24,0,25,2,0,0
10,0,3,2,0,0,0,5,0,1,2,0,1
1,0,1,2,0,0,0,0,1,1,2,1,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,1,0,1,3,0,0
1,0,1,2,16,0,0,1,0,1,1,71,34
1,0,10,3,122,38,35,2,0,6,2,49,6
16,0,33,2,99,63,61,20,0,29,1,0,0
34,0,23,1,0,14,26,29,0,32,2,0,0
6,0,1,2,0,0,0,9,0,1,2,0,0
1,0,1,3,0,0,0,1,0,1,2,1,0
1,0,1,3,0,0,0,1,0,1,2,0,1
1,0,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,21,0,0,1,1,1,1,78,21
2,1,10,1,133,36,42,4,1,6,2,57,10
17,1,29,1,84,61,62,30,0,25,2,0,0
34,0,27,4,0,24,13,34,1,21,2,0,0
10,0,1,2,0,0,0,2,0,1,1,1,0
1,0,1,1,0,0,0,1,1,1,2,0,0
1,0,1,2,0,0,0,1,1,1,2,1,0
1,0,1,3,0,0,0,1,0,1,2,0,0
1,2,1,1,18,0,0,1,0,1,2,63,28
2,0,9,3,117,41,35,1,0,10,2,40,9
21,0,29,3,103,52,61,23,0,25,1,1,0
21,0,27,2,0,24,25,34,0,25,1,0,0
16,0,2,1,0,0,0,8,0,1,1,0,0
1,0,1,3,0,0,0,1,0,1,3,0,0
1,0,1,2,0,0,0,1,1,1,1,0,0
1,1,1,1,0,0,0,0,0,1,3,1,0
1,0,1,3,19,0,0,1,0,1,2,64,10
1,2,6,2,134,38,42,3,0,7,1,39,2
20,0,29,2,86,63,60,25,0,31,2,0,0
37,0,22,3,0,11,24,30,0,27,1,0,0
5,0,1,2,0,0,0,9,0,1,2,1,0
1,1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,3,0,0,0,1,1,1,1,0,0
1,0,1,2,0,0,0,1,0,1,3,1,0
1,0,1,3,18,0,0,1,0,1,3,70,29
1,0,1,2,131,36,41,3,1,9,0,40,5
29,1,30,0,88,63,63,26,0,28,2,1,0
21,1,34,3,0,20,14,31,0,21,2,0,0
11,0,1,2,0,0,0,5,0,1,1,0,0
1,1,1,3,0,0,0,1,1,1,2,1,0
1,0,1,3,0,0,0,1,0,1,3,0,1
1,0,1,1,0,0,0,1,0,1,1,1,0
1,0,1,2,20,0,0,1,1,1,1,82,27
2,0,5,3,120,37,39,3,0,7,3,52,10
21,1,26,1,98,53,60,25,0,23,1,4,0
30,0,28,2,0,28,21,38,0,21,3,0,0
14,2,1,2,0,0,0,8,0,1,0,0,0
1,1,1,3,0,0,0,1,0,1,2,0,0
1,1,1,1,0,0,0,1,1,1,2,0,1
1,0,1,3,0,0,0,1,0,1,1,0,1
1,1,1,2,15,0,0,0,1,1,2,75,18
1,0,7,2,122,30,39,3,1,7,2,48,5
18,0,20,2,101,57,61,29,0,25,3,9,0
34,0,32,3,1,35,17,32,1,23,0,0,0
15,1,4,2,0,0,0,5,0,0,3,0,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,2,1,1,0,0,0,0,0,1,2,1,0
1,0,1,3,0,0,0,1,0,1,2,0,0
1,0,1,3,22,0,0,1,0,1,1,69,19
1,0,7,2,148,39,41,4,0,6,3,44,6
25,0,29,2,68,64,61,28,0,29,1,0,1
36,1,22,2,0,26,7,27,0,21,2,0,0
16,0,2,1,0,0,0,0,0,0,1,0,0
1,0,1,3,0,0,0,1,0,1,3,1,0
1,0,1,2,0,0,0,1,0,1,1,1,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,19,0,0,1,0,1,2,97,8
2,0,5,2,130,41,42,1,0,9,2,55,2
25,0,31,2,87,57,61,25,0,26,1,1,0
31,2,25,1,0,27,8,29,0,24,3,0,0
12,2,3,3,0,0,0,3,0,1,1,0,0
1,1,1,2,0,0,0,1,0,0,1,0,0
1,0,1,3,0,0,0,1,0,1,2,0,0
1,0,1,3,0,0,0,1,0,1,2,0,0
1,0,1,2,13,0,0,1,0,1,2,71,17
1,1,4,0,133,36,39,1,1,5,1,52,0
22,0,31,3,91,60,63,30,1,24,1,5,0
25,0,34,2,0,36,3,29,0,20,3,0,0
20,0,4,2,0,0,0,2,0,0,1,0,0
1,0,1,3,0,0,0,1,1,1,2,0,0
1,0,1,1,0,0,0,1,0,1,2,0,0
1,2,1,2,0,0,0,0,0,1,1,0,0
1,0,1,3,20,0,0,1,1,1,3,78,29
2,1,8,3,138,42,42,3,0,9,2,42,3
25,0,26,0,81,58,63,24,1,30,0,0,0
30,0,30,4,0,20,14,34,0,20,2,0,0
6,0,1,1,0,0,0,6,1,1,2,1,0
1,1,2,2,0,0,0,0,0,0,3,0,0
1,0,1,3,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,0,1,3,21,0,0,1,1,1,0,72,13
1,0,5,2,120,37,40,2,0,7,3,71,1
31,0,21,1,97,53,61,18,0,31,2,2,1
27,1,26,2,0,31,16,38,0,24,2,0,0
16,2,2,1,0,0,0,3,0,1,1,0,0
1,0,2,3,0,0,0,1,0,0,2,0,0
1,0,1,3,0,0,0,1,0,1,2,0,0
1,1,1,1,0,0,0,1,0,1,1,0,0
1,0,1,4,15,0,0,1,1,1,2,73,15
2,0,6,1,137,39,40,2,1,6,0,36,9
21,1,32,2,84,58,62,20,1,34,4,0,0
28,0,26,3,0,19,18,27,0,33,0,0,0
7,0,2,2,0,0,0,4,0,1,3,0,0
1,1,1,2,0,0,0,1,0,1,2,0,0
1,0,2,2,0,0,0,1,0,0,1,0,0
1,2,1,1,0,0,0,1,0,1,2,0,0
1,0,1,3,20,0,0,0,0,1,2,107,18
1,0,4,2,130,37,39,5,0,10,2,79,4
17,0,35,2,88,55,65,26,0,24,2,2,0
29,0,30,2,0,28,14,34,0,22,2,0,0
9,0,3,2,0,0,0,4,0,1,0,1,0
1,2,1,1,0,0,0,1,0,1,3,0,0
1,1,2,4,0,0,0,1,0,0,2,1,0
1,0,1,2,0,0,0,0,0,1,1,0,0
1,0,1,3,17,0,0,1,0,1,2,83,10
1,1,6,1,131,40,35,3,0,3,2,41,3
27,0,27,3,90,59,62,23,0,34,1,1,0
34,0,28,1,0,28,14,24,1,29,0,0,0
10,1,2,1,0,0,0,2,0,1,4,0,0
2,0,2,3,0,0,0,0,0,1,1,1,0
1,1,1,2,0,0,0,2,1,1,2,0,0
1,2,2,2,0,0,0,1,0,1,1,0,0
2,1,1,5,18,0,0,1,0,1,4,108,41
1,0,8,3,122,40,39,1,0,11,2,93,31
27,1,28,3,126,58,61,30,0,22,3,32,0
29,0,30,2,69,50,64,33,0,33,1,0,0
22,1,24,3,0,17,6,30,0,20,4,0,0
10,1,1,5,0,0,0,1,0,2,2,0,0
1,0,2,2,0,0,0,1,0,1,2,0,0
2,1,2,2,0,0,0,1,0,1,3,1,0
1,0,1,4,22,0,0,2,0,1,3,92,45
3,1,7,3,122,40,45,4,0,4,1,62,30
27,0,25,4,133,54,57,28,0,33,3,21,2
25,1,34,2,58,58,63,28,0,34,3,0,1
22,0,25,4,0,6,12,36,0,18,3,0,0
4,0,1,2,0,0,0,3,0,2,2,0,0
2,2,2,2,0,0,0,1,0,1,3,0,0
1,2,1,4,0,0,0,1,0,1,1,0,0
2,0,2,3,24,0,0,1,0,1,3,99,23
3,2,7,3,119,43,39,4,0,5,3,61,18
26,1,27,2,124,57,61,28,1,29,2,38,2
32,1,26,4,68,58,58,33,0,32,2,0,0
26,0,29,3,0,15,4,23,0,18,3,0,0
10,1,2,3,0,0,0,1,0,2,2,1,0
1,0,1,4,0,0,0,1,0,1,1,0,0
2,0,2,3,0,0,0,1,0,1,4,0,0
1,0,2,3,25,0,0,2,0,1,3,72,22
1,2,8,2,109,42,33,2,0,11,2,67,18
19,0,32,3,120,52,61,22,1,24,2,53,8
28,0,33,3,81,60,55,26,0,36,3,0,0
26,1,27,4,0,11,20,20,1,25,1,1,0
4,0,2,3,0,0,0,14,1,2,2,0,0
1,1,1,3,0,0,0,1,1,1,5,0,1
2,1,2,2,0,0,0,1,0,1,2,0,1
1,0,1,3,17,0,0,1,0,1,2,91,38
3,0,6,3,124,40,40,5,0,7,2,77,37
24,1,27,3,130,54,62,28,1,27,1,27,5
31,0,27,3,62,61,60,32,0,28,4,0,0
29,1,27,3,0,10,6,32,0,16,3,0,0
5,0,1,4,0,0,0,4,0,2,2,0,1
2,0,2,3,0,0,0,1,0,1,3,0,0
1,0,1,3,0,0,0,1,0,1,2,0,0
2,0,2,3,17,0,0,2,0,1,3,100,33
2,1,8,2,128,38,40,3,1,8,2,61,13
24,1,28,4,131,60,63,26,0,30,3,25,0
28,0,34,2,62,59,62,32,0,33,2,1,0
27,0,22,4,0,8,8,26,0,22,2,1,1
5,0,2,2,0,0,0,4,0,1,3,1,0
1,1,1,3,0,0,0,1,0,2,2,0,0
2,0,2,3,0,0,0,1,0,1,3,0,0
1,1,2,3,21,0,0,1,0,1,2,96,27
1,1,6,3,118,40,40,5,0,7,3,100,39
24,0,31,4,128,62,54,23,0,27,1,33,1
28,0,38,2,67,60,62,36,0,22,4,0,0
32,0,18,4,0,8,8,28,0,26,2,0,0
6,0,2,2,0,0,0,1,0,1,2,0,0
1,0,1,3,0,0,0,1,0,2,3,1,0
2,0,2,4,0,0,0,2,1,1,0,0,1
1,1,1,1,24,0,0,1,0,1,4,86,35
1,2,7,4,131,42,39,3,0,9,3,58,19
29,0,25,3,127,59,63,21,0,33,2,41,0
34,0,33,2,50,57,49,33,0,27,2,1,0
21,2,33,0,0,23,0,17,0,15,2,0,0
8,0,1,5,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,1,0,0,2,1,0
1,1,1,0,0,0,0,1,0,1,1,0,0
1,1,1,2,13,0,0,0,0,1,1,56,13
1,0,6,3,127,38,35,2,0,8,3,37,0
27,0,24,2,99,59,60,20,0,27,1,1,0
35,0,23,2,0,21,26,25,1,29,2,0,0
10,0,1,2,0,0,0,16,0,1,1,0,0
1,0,1,2,0,0,0,0,0,1,2,0,0
1,2,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,1,0,1,3,0,0
1,1,1,2,20,0,0,1,0,1,1,64,20
3,0,9,3,129,40,39,1,1,9,2,50,0
16,0,31,1,87,58,60,28,1,26,1,2,0
32,0,30,3,0,28,11,30,0,19,1,0,0
11,1,1,1,0,0,0,2,0,1,3,1,0
1,1,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,2,1,2,0,0,0,1,0,1,2,0,0
1,0,1,3,22,0,0,0,1,1,1,94,25
2,1,4,1,142,41,45,4,0,3,3,31,1
28,1,31,3,74,63,60,22,0,41,0,0,0
35,1,25,0,0,17,12,17,1,34,1,0,0
4,0,1,4,0,0,0,2,0,1,3,0,0
1,0,1,1,0,0,0,0,0,1,2,0,0
1,1,1,4,0,0,0,1,0,1,1,2,0
1,0,1,1,0,0,0,1,0,1,0,0,0
1,0,1,2,24,0,0,1,0,0,2,90,31
1,0,5,2,126,38,41,3,0,5,2,57,0
20,1,33,2,88,58,62,26,0,29,2,1,0
28,0,26,2,0,26,12,30,0,21,2,1,0
13,1,4,1,0,0,0,7,0,1,2,0,0
1,0,1,3,0,0,0,1,1,1,1,0,0
1,1,1,2,0,0,0,1,0,0,3,0,0
1,0,2,2,0,0,0,0,1,1,0,0,0
1,0,1,3,16,0,0,1,0,1,2,85,17
2,1,6,1,124,37,38,2,0,8,3,61,4
22,0,23,2,99,59,60,18,0,32,0,0,0
33,1,32,2,0,24,20,28,0,30,2,1,0
7,0,2,3,0,0,0,6,1,0,2,0,1
1,0,1,2,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,1,0,1,2,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,0,1,3,18,0,0,1,0,1,2,93,28
1,0,6,1,119,41,37,1,0,4,1,79,6
25,1,28,1,100,56,61,21,0,32,2,1,0
27,1,26,3,0,17,25,29,0,32,2,0,0
8,1,1,2,0,0,0,9,0,1,1,0,0
1,0,2,2,0,0,0,1,0,1,2,1,0
1,0,1,2,0,0,0,0,1,1,2,0,0
1,1,1,2,0,0,0,1,1,1,1,0,0
1,1,1,3,23,0,0,1,0,1,3,59,28
2,1,8,1,135,42,42,2,0,6,0,34,2
19,1,37,2,80,61,60,26,0,29,2,0,0
24,1,26,2,0,14,19,32,1,26,2,0,0
8,1,1,2,0,0,0,5,1,1,2,0,0
1,1,1,3,0,0,0,1,0,1,2,0,0
1,0,1,2,0,0,0,1,1,1,0,0,0
1,0,1,2,0,0,0,1,0,1,3,0,0
1,0,1,2,23,0,0,1,0,0,1,85,28
1,0,7,2,127,40,42,3,0,8,2,28,12
17,0,43,2,86,61,61,24,0,30,2,1,0
23,0,20,2,0,6,26,31,0,25,1,1,0
3,0,1,2,0,0,0,12,0,3,2,0,0
1,1,1,2,0,0,0,1,0,1,2,2,0
1,0,1,2,0,0,0,0,0,0,0,0,0
1,0,1,3,0,0,0,1,0,1,3,0,0
1,1,1,0,19,0,0,1,0,1,1,78,23
1,1,7,3,123,41,41,5,0,3,2,35,15
22,1,32,1,98,63,54,28,0,24,2,0,0
25,0,34,3,0,13,28,24,0,33,1,0,0
3,0,1,2,0,0,0,9,0,3,1,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,2,1,2,0,0,0,1,0,1,2,1,0
1,0,1,2,0,0,0,1,0,1,2,1,0
1,1,2,2,22,0,0,0,0,1,2,61,20
3,1,10,2,119,39,39,2,0,5,2,55,12
24,0,25,2,100,55,63,25,1,35,0,0,0
29,1,27,1,0,24,19,22,0,29,2,0,0
7,0,1,3,0,0,0,9,1,1,1,0,1
1,0,1,3,0,0,0,0,0,1,3,1,0
1,2,1,0,0,0,0,1,1,1,2,0,0
1,0,1,3,0,0,0,1,0,1,1,0,0
0,0,1,3,18,0,0,1,0,1,2,67,27
1,0,6,2,114,32,38,1,0,7,0,57,7
20,0,26,2,104,58,59,22,1,31,2,9,0
29,0,29,1,2,39,12,25,0,25,2,0,0
14,0,12,3,0,0,0,3,0,1,2,0,0
1,0,1,1,0,0,0,1,0,1,2,0,0
1,0,1,3,0,0,0,1,0,1,1,0,0
1,1,2,0,0,0,0,0,0,0,1,0,0
1,0,1,4,24,0,0,1,0,1,2,80,25
1,0,9,2,127,39,43,3,0,6,2,30,7
19,0,28,2,88,56,64,33,1,29,2,0,0
33,0,20,1,0,17,20,25,0,31,2,0,0
9,0,1,3,0,0,0,6,0,1,1,0,0
1,0,1,2,0,0,0,1,1,1,1,0,0
1,1,1,2,0,0,0,1,0,0,2,0,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,1,1,1,21,0,0,1,0,1,3,58,25
2,0,5,3,134,42,38,2,0,7,2,42,6
23,2,28,1,82,59,63,22,1,26,2,0,0
34,1,19,2,0,5,29,40,0,28,2,0,0
2,0,1,3,0,0,0,9,0,2,0,0,0
1,1,2,1,0,0,0,1,0,1,2,0,0
1,1,1,3,0,0,0,0,0,1,2,0,0
1,0,1,3,0,0,0,1,0,1,2,0,0
0,0,1,1,16,0,0,1,0,1,2,78,21
1,0,7,3,130,38,38,1,0,8,1,54,16
21,1,32,0,91,59,64,25,0,29,2,6,0
28,2,23,3,0,26,12,29,0,25,1,0,0
17,0,2,3,0,0,0,2,0,1,2,0,0
1,0,1,1,0,0,0,1,0,1,1,0,0
1,2,1,2,0,0,0,1,0,1,2,0,0
