date,A,B,C,D,E,F,G,H,I,J,K,L,M
2023/1/1 2:19,24,0,22,4,121,58,64,24,0,30,3,45,0
2023/1/1 2:20,37,1,32,2,103,55,61,35,0,33,3,8,0
2023/1/1 2:21,24,2,29,3,0,32,19,36,0,20,2,0,0
2023/1/1 2:22,17,0,4,6,0,0,0,4,1,2,3,0,0
2023/1/1 2:23,2,0,2,2,0,0,0,1,0,1,3,1,0
2023/1/1 2:24,2,0,2,4,0,0,0,2,0,2,3,0,1
2023/1/1 2:25,1,1,2,4,20,0,0,1,0,1,3,100,33
2023/1/1 2:26,5,0,6,4,140,41,41,4,0,11,2,85,20
2023/1/1 2:27,25,1,30,1,124,61,65,28,0,28,3,47,0
2023/1/1 2:28,31,1,31,4,79,54,63,28,0,36,2,4,1
2023/1/1 2:29,28,1,28,6,0,30,8,25,0,28,4,1,0
2023/1/1 2:30,15,0,5,2,0,0,0,2,0,2,3,1,0
2023/1/1 2:31,1,1,2,2,0,0,0,2,0,1,3,0,0
2023/1/1 2:32,2,0,2,5,0,0,0,1,1,2,2,0,0
2023/1/1 2:33,2,1,2,2,16,0,0,1,0,1,4,87,43
2023/1/1 2:34,1,2,6,3,116,36,41,5,1,8,2,66,18
2023/1/1 2:35,27,1,28,5,117,53,58,20,0,26,3,54,12
2023/1/1 2:36,25,0,31,5,94,56,56,39,0,21,3,37,0
2023/1/1 2:37,24,0,28,4,23,50,15,37,0,24,3,0,0
2023/1/1 2:38,25,1,18,3,0,1,0,3,0,1,3,0,0
2023/1/1 2:39,2,1,2,2,0,0,0,2,0,2,2,0,0
2023/1/1 2:40,1,3,2,3,0,0,0,1,1,1,3,0,0
2023/1/1 2:41,2,2,2,3,27,0,0,2,0,2,3,95,56
2023/1/1 2:42,4,2,9,6,126,45,41,3,0,10,4,76,39
2023/1/1 2:43,25,0,32,3,127,63,62,20,0,36,1,33,4
2023/1/1 2:44,31,0,31,4,84,61,58,34,2,26,2,1,0
2023/1/1 2:45,27,0,35,4,0,18,16,31,1,27,4,0,0
2023/1/1 2:46,8,2,2,2,0,0,0,3,0,1,5,0,0
2023/1/1 2:47,2,0,2,4,0,0,0,1,0,1,2,1,1
2023/1/1 2:48,2,0,2,4,0,0,0,1,0,2,3,0,1
2023/1/1 2:49,1,1,2,3,21,0,0,2,0,1,1,108,24
2023/1/1 2:50,3,0,7,4,124,38,42,1,0,8,4,86,12
2023/1/1 2:51,23,2,26,1,96,56,55,25,1,31,2,64,6
2023/1/1 2:52,31,0,31,4,120,51,55,32,0,26,4,10,0
2023/1/1 2:53,28,0,26,6,3,36,31,32,1,29,1,3,0
2023/1/1 2:54,18,1,6,1,0,0,0,11,1,3,5,1,0
2023/1/1 2:55,1,1,2,6,0,0,0,1,0,1,3,0,1
2023/1/1 2:56,2,0,2,4,0,0,0,2,0,2,1,0,0
2023/1/1 2:57,2,0,2,2,19,0,0,1,1,1,3,95,21
2023/1/1 2:58,1,2,10,2,125,40,43,3,0,11,4,66,7
2023/1/1 2:59,23,0,25,5,125,60,59,27,0,22,2,48,0
2023/1/1 3:00,35,0,31,2,85,59,54,35,0,27,2,14,0
2023/1/1 3:01,29,1,30,1,8,47,0,19,0,20,2,1,0
2023/1/1 3:02,18,0,15,3,0,0,0,0,0,1,2,0,0
2023/1/1 3:03,1,1,1,2,0,0,0,1,0,1,1,0,0
2023/1/1 3:04,1,0,1,2,0,0,0,1,1,0,1,0,1
2023/1/1 3:05,1,1,1,2,17,0,0,1,0,1,1,84,21
2023/1/1 3:06,1,0,5,2,133,35,45,3,0,10,3,50,0
2023/1/1 3:07,17,2,32,2,88,61,58,25,0,30,2,15,0
2023/1/1 3:08,29,0,36,3,0,38,1,21,0,21,2,0,0
2023/1/1 3:09,18,0,4,2,0,0,0,0,1,1,2,0,0
2023/1/1 3:10,1,0,1,3,0,0,0,1,0,1,0,0,0
2023/1/1 3:11,1,1,2,1,0,0,0,1,0,1,3,0,0
2023/1/1 3:12,1,1,1,2,0,0,0,1,0,0,2,0,0
2023/1/1 3:13,1,1,1,2,18,0,0,1,0,1,2,96,13
2023/1/1 3:14,1,0,9,3,126,39,39,3,0,9,1,61,3
2023/1/1 3:15,19,0,29,2,95,59,60,24,0,26,2,6,0
2023/1/1 3:16,38,0,22,2,0,28,14,32,0,21,2,1,0
2023/1/1 3:17,7,0,9,2,0,0,0,4,0,1,1,0,0
2023/1/1 3:18,1,2,1,1,0,0,0,1,1,1,2,0,0
2023/1/1 3:19,1,1,2,3,0,0,0,1,1,1,1,0,0
2023/1/1 3:20,1,0,1,2,0,0,0,1,0,0,2,0,0
2023/1/1 3:21,1,1,1,1,24,0,0,0,1,1,2,88,27
2023/1/1 3:22,1,1,8,3,121,37,42,1,0,5,2,37,4
2023/1/1 3:23,17,1,32,2,93,61,60,28,1,36,0,2,0
2023/1/1 3:24,34,2,26,2,0,29,9,23,0,20,4,0,0
2023/1/1 3:25,16,1,1,3,0,0,0,5,0,1,1,2,0
2023/1/1 3:26,1,0,1,2,0,0,0,1,0,1,2,1,0
2023/1/1 3:27,1,0,1,2,0,0,0,1,0,1,2,0,0
2023/1/1 3:28,1,1,2,2,0,0,0,0,1,1,1,0,0
2023/1/1 3:29,1,0,1,2,19,0,0,1,0,0,2,70,16
2023/1/1 3:30,1,0,10,2,134,42,38,1,0,5,2,42,4
2023/1/1 3:31,22,0,31,2,86,62,62,25,0,28,1,1,0
2023/1/1 3:32,29,0,27,3,0,19,16,38,0,19,2,0,0
2023/1/1 3:33,10,0,1,2,0,0,0,6,0,1,1,0,0
2023/1/1 3:34,1,0,1,2,0,0,0,1,0,1,2,0,0
2023/1/1 3:35,1,2,1,1,0,0,0,1,0,1,2,1,0
2023/1/1 3:36,1,0,2,3,0,0,0,1,0,1,1,0,0
2023/1/1 3:37,1,1,1,2,21,0,0,1,1,0,2,71,17
2023/1/1 3:38,2,0,4,2,127,38,44,1,0,7,2,39,4
2023/1/1 3:39,27,0,23,2,89,62,62,26,0,28,2,0,0
2023/1/1 3:40,30,2,24,2,0,16,14,37,0,24,2,0,1
2023/1/1 3:41,13,1,1,3,0,0,0,3,1,1,1,0,0
2023/1/1 3:42,1,0,1,2,0,0,0,1,0,1,2,1,0
2023/1/1 3:43,1,2,1,0,0,0,0,1,0,1,2,0,0
2023/1/1 3:44,1,0,1,4,0,0,0,1,0,1,2,0,0
2023/1/1 3:45,1,1,2,2,17,0,0,1,1,1,1,79,45
2023/1/1 3:46,1,0,9,3,128,42,38,1,0,5,2,38,15
2023/1/1 3:47,22,0,30,2,95,59,61,22,0,26,2,0,0
2023/1/1 3:48,31,1,30,1,0,20,20,41,0,24,1,1,0
2023/1/1 3:49,5,1,1,3,0,0,0,5,0,1,2,0,0
2023/1/1 3:50,1,1,1,2,0,0,0,1,0,1,2,0,0
2023/1/1 3:51,1,0,1,2,0,0,0,1,0,1,1,0,0
2023/1/1 3:52,1,0,1,2,0,0,0,0,0,1,3,0,0
2023/1/1 3:53,1,1,2,3,15,0,0,1,0,1,1,77,22
2023/1/1 3:54,1,0,4,1,138,39,42,2,0,7,2,48,5
2023/1/1 3:55,15,1,36,2,84,60,60,25,1,32,1,4,0
2023/1/1 3:56,33,0,29,3,0,24,12,24,0,25,2,0,0
2023/1/1 3:57,10,0,3,2,0,0,0,5,0,1,2,0,1
2023/1/1 3:58,1,0,1,2,0,0,0,0,1,1,2,1,0
2023/1/1 3:59,1,0,1,2,0,0,0,1,0,1,1,0,0
2023/1/1 4:00,1,0,1,2,0,0,0,1,0,1,3,0,0
2023/1/1 4:01,1,0,1,2,16,0,0,1,0,1,1,71,34
2023/1/1 4:02,1,0,10,3,122,38,35,2,0,6,2,49,6
2023/1/1 4:03,16,0,33,2,99,63,61,20,0,29,1,0,0
2023/1/1 4:04,34,0,23,1,0,14,26,29,0,32,2,0,0
2023/1/1 4:05,6,0,1,2,0,0,0,9,0,1,2,0,0
2023/1/1 4:06,1,0,1,3,0,0,0,1,0,1,2,1,0
2023/1/1 4:07,1,0,1,3,0,0,0,1,0,1,2,0,1
2023/1/1 4:08,1,0,1,2,0,0,0,1,0,1,1,0,0
2023/1/1 4:09,1,0,1,2,21,0,0,1,1,1,1,78,21
2023/1/1 4:10,2,1,10,1,133,36,42,4,1,6,2,57,10
2023/1/1 4:11,17,1,29,1,84,61,62,30,0,25,2,0,0
2023/1/1 4:12,34,0,27,4,0,24,13,34,1,21,2,0,0
2023/1/1 4:13,10,0,1,2,0,0,0,2,0,1,1,1,0
2023/1/1 4:14,1,0,1,1,0,0,0,1,1,1,2,0,0
2023/1/1 4:15,1,0,1,2,0,0,0,1,1,1,2,1,0
2023/1/1 4:16,1,0,1,3,0,0,0,1,0,1,2,0,0
2023/1/1 4:17,1,2,1,1,18,0,0,1,0,1,2,63,28
2023/1/1 4:18,2,0,9,3,117,41,35,1,0,10,2,40,9
2023/1/1 4:19,21,0,29,3,103,52,61,23,0,25,1,1,0
2023/1/1 4:20,21,0,27,2,0,24,25,34,0,25,1,0,0
2023/1/1 4:21,16,0,2,1,0,0,0,8,0,1,1,0,0
2023/1/1 4:22,1,0,1,3,0,0,0,1,0,1,3,0,0
2023/1/1 4:23,1,0,1,2,0,0,0,1,1,1,1,0,0
2023/1/1 4:24,1,1,1,1,0,0,0,0,0,1,3,1,0
2023/1/1 4:25,1,0,1,3,19,0,0,1,0,1,2,64,10
2023/1/1 4:26,1,2,6,2,134,38,42,3,0,7,1,39,2
2023/1/1 4:27,20,0,29,2,86,63,60,25,0,31,2,0,0
2023/1/1 4:28,37,0,22,3,0,11,24,30,0,27,1,0,0
2023/1/1 4:29,5,0,1,2,0,0,0,9,0,1,2,1,0
2023/1/1 4:30,1,1,1,1,0,0,0,0,0,1,1,0,0
2023/1/1 4:31,1,1,1,3,0,0,0,1,1,1,1,0,0
2023/1/1 4:32,1,0,1,2,0,0,0,1,0,1,3,1,0
2023/1/1 4:33,1,0,1,3,18,0,0,1,0,1,3,70,29
2023/1/1 4:34,1,0,1,2,131,36,41,3,1,9,0,40,5
2023/1/1 4:35,29,1,30,0,88,63,63,26,0,28,2,1,0
2023/1/1 4:36,21,1,34,3,0,20,14,31,0,21,2,0,0
2023/1/1 4:37,11,0,1,2,0,0,0,5,0,1,1,0,0
2023/1/1 4:38,1,1,1,3,0,0,0,1,1,1,2,1,0
2023/1/1 4:39,1,0,1,3,0,0,0,1,0,1,3,0,1
2023/1/1 4:40,1,0,1,1,0,0,0,1,0,1,1,1,0
2023/1/1 4:41,1,0,1,2,20,0,0,1,1,1,1,82,27
2023/1/1 4:42,2,0,5,3,120,37,39,3,0,7,3,52,10
2023/1/1 4:43,21,1,26,1,98,53,60,25,0,23,1,4,0
2023/1/1 4:44,30,0,28,2,0,28,21,38,0,21,3,0,0
2023/1/1 4:45,14,2,1,2,0,0,0,8,0,1,0,0,0
2023/1/1 4:46,1,1,1,3,0,0,0,1,0,1,2,0,0
2023/1/1 4:47,1,1,1,1,0,0,0,1,1,1,2,0,1
2023/1/1 4:48,1,0,1,3,0,0,0,1,0,1,1,0,1
2023/1/1 4:49,1,1,1,2,15,0,0,0,1,1,2,75,18
2023/1/1 4:50,1,0,7,2,122,30,39,3,1,7,2,48,5
2023/1/1 4:51,18,0,20,2,101,57,61,29,0,25,3,9,0
2023/1/1 4:52,34,0,32,3,1,35,17,32,1,23,0,0,0
2023/1/1 4:53,15,1,4,2,0,0,0,5,0,0,3,0,0
2023/1/1 4:54,1,0,1,2,0,0,0,1,0,1,1,0,0
2023/1/1 4:55,1,2,1,1,0,0,0,0,0,1,2,1,0
2023/1/1 4:56,1,0,1,3,0,0,0,1,0,1,2,0,0
2023/1/1 4:57,1,0,1,3,22,0,0,1,0,1,1,69,19
2023/1/1 4:58,1,0,7,2,148,39,41,4,0,6,3,44,6
2023/1/1 4:59,25,0,29,2,68,64,61,28,0,29,1,0,1
2023/1/1 5:00,36,1,22,2,0,26,7,27,0,21,2,0,0
2023/1/1 5:01,16,0,2,1,0,0,0,0,0,0,1,0,0
2023/1/1 5:02,1,0,1,3,0,0,0,1,0,1,3,1,0
2023/1/1 5:03,1,0,1,2,0,0,0,1,0,1,1,1,0
2023/1/1 5:04,1,0,1,2,0,0,0,1,0,1,1,0,0
2023/1/1 5:05,1,0,1,2,19,0,0,1,0,1,2,97,8
2023/1/1 5:06,2,0,5,2,130,41,42,1,0,9,2,55,2
2023/1/1 5:07,25,0,31,2,87,57,61,25,0,26,1,1,0
2023/1/1 5:08,31,2,25,1,0,27,8,29,0,24,3,0,0
2023/1/1 5:09,12,2,3,3,0,0,0,3,0,1,1,0,0
2023/1/1 5:10,1,1,1,2,0,0,0,1,0,0,1,0,0
2023/1/1 5:11,1,0,1,3,0,0,0,1,0,1,2,0,0
2023/1/1 5:12,1,0,1,3,0,0,0,1,0,1,2,0,0
2023/1/1 5:13,1,0,1,2,13,0,0,1,0,1,2,71,17
2023/1/1 5:14,1,1,4,0,133,36,39,1,1,5,1,52,0
2023/1/1 5:15,22,0,31,3,91,60,63,30,1,24,1,5,0
2023/1/1 5:16,25,0,34,2,0,36,3,29,0,20,3,0,0
2023/1/1 5:17,20,0,4,2,0,0,0,2,0,0,1,0,0
2023/1/1 5:18,1,0,1,3,0,0,0,1,1,1,2,0,0
2023/1/1 5:19,1,0,1,1,0,0,0,1,0,1,2,0,0
2023/1/1 5:20,1,2,1,2,0,0,0,0,0,1,1,0,0
2023/1/1 5:21,1,0,1,3,20,0,0,1,1,1,3,78,29
2023/1/1 5:22,2,1,8,3,138,42,42,3,0,9,2,42,3
2023/1/1 5:23,25,0,26,0,81,58,63,24,1,30,0,0,0
2023/1/1 5:24,30,0,30,4,0,20,14,34,0,20,2,0,0
2023/1/1 5:25,6,0,1,1,0,0,0,6,1,1,2,1,0
2023/1/1 5:26,1,1,2,2,0,0,0,0,0,0,3,0,0
2023/1/1 5:27,1,0,1,3,0,0,0,1,0,1,1,0,0
2023/1/1 5:28,1,0,1,2,0,0,0,1,0,1,2,0,0
2023/1/1 5:29,1,0,1,3,21,0,0,1,1,1,0,72,13
2023/1/1 5:30,1,0,5,2,120,37,40,2,0,7,3,71,1
2023/1/1 5:31,31,0,21,1,97,53,61,18,0,31,2,2,1
2023/1/1 5:32,27,1,26,2,0,31,16,38,0,24,2,0,0
2023/1/1 5:33,16,2,2,1,0,0,0,3,0,1,1,0,0
2023/1/1 5:34,1,0,2,3,0,0,0,1,0,0,2,0,0
2023/1/1 5:35,1,0,1,3,0,0,0,1,0,1,2,0,0
2023/1/1 5:36,1,1,1,1,0,0,0,1,0,1,1,0,0
2023/1/1 5:37,1,0,1,4,15,0,0,1,1,1,2,73,15
2023/1/1 5:38,2,0,6,1,137,39,40,2,1,6,0,36,9
2023/1/1 5:39,21,1,32,2,84,58,62,20,1,34,4,0,0
2023/1/1 5:40,28,0,26,3,0,19,18,27,0,33,0,0,0
2023/1/1 5:41,7,0,2,2,0,0,0,4,0,1,3,0,0
2023/1/1 5:42,1,1,1,2,0,0,0,1,0,1,2,0,0
2023/1/1 5:43,1,0,2,2,0,0,0,1,0,0,1,0,0
2023/1/1 5:44,1,2,1,1,0,0,0,1,0,1,2,0,0
2023/1/1 5:45,1,0,1,3,20,0,0,0,0,1,2,107,18
2023/1/1 5:46,1,0,4,2,130,37,39,5,0,10,2,79,4
2023/1/1 5:47,17,0,35,2,88,55,65,26,0,24,2,2,0
2023/1/1 5:48,29,0,30,2,0,28,14,34,0,22,2,0,0
2023/1/1 5:49,9,0,3,2,0,0,0,4,0,1,0,1,0
2023/1/1 5:50,1,2,1,1,0,0,0,1,0,1,3,0,0
2023/1/1 5:51,1,1,2,4,0,0,0,1,0,0,2,1,0
2023/1/1 5:52,1,0,1,2,0,0,0,0,0,1,1,0,0
2023/1/1 5:53,1,0,1,3,17,0,0,1,0,1,2,83,10
2023/1/1 5:54,1,1,6,1,131,40,35,3,0,3,2,41,3
2023/1/1 5:55,27,0,27,3,90,59,62,23,0,34,1,1,0
2023/1/1 5:56,34,0,28,1,0,28,14,24,1,29,0,0,0
2023/1/1 5:57,10,1,2,1,0,0,0,2,0,1,4,0,0
2023/1/1 5:58,2,0,2,3,0,0,0,0,0,1,1,1,0
2023/1/1 5:59,1,1,1,2,0,0,0,2,1,1,2,0,0
2023/1/1 6:00,1,2,2,2,0,0,0,1,0,1,1,0,0
2023/1/1 6:01,2,1,1,5,18,0,0,1,0,1,4,108,41
2023/1/1 6:02,1,0,8,3,122,40,39,1,0,11,2,93,31
2023/1/1 6:03,27,1,28,3,126,58,61,30,0,22,3,32,0
2023/1/1 6:04,29,0,30,2,69,50,64,33,0,33,1,0,0
2023/1/1 6:05,22,1,24,3,0,17,6,30,0,20,4,0,0
2023/1/1 6:06,10,1,1,5,0,0,0,1,0,2,2,0,0
2023/1/1 6:07,1,0,2,2,0,0,0,1,0,1,2,0,0
2023/1/1 6:08,2,1,2,2,0,0,0,1,0,1,3,1,0
2023/1/1 6:09,1,0,1,4,22,0,0,2,0,1,3,92,45
2023/1/1 6:10,3,1,7,3,122,40,45,4,0,4,1,62,30
2023/1/1 6:11,27,0,25,4,133,54,57,28,0,33,3,21,2
2023/1/1 6:12,25,1,34,2,58,58,63,28,0,34,3,0,1
2023/1/1 6:13,22,0,25,4,0,6,12,36,0,18,3,0,0
2023/1/1 6:14,4,0,1,2,0,0,0,3,0,2,2,0,0
2023/1/1 6:15,2,2,2,2,0,0,0,1,0,1,3,0,0
