A,B,C,D,E,F,G,H,I,J,K,L,M
12,2,11,8,1,3,5,16,0,8,10,0,0
8,1,7,10,5,0,0,5,3,6,5,7,4
7,2,6,9,41,11,6,7,2,2,9,0,0
7,2,17,9,14,19,19,9,2,8,7,2,1
12,0,7,8,0,0,5,12,1,7,5,3,1
2,1,2,9,2,0,0,13,5,5,8,2,1
4,2,5,4,39,4,4,4,2,3,9,2,0
7,1,7,10,19,18,21,11,2,6,12,0,0
9,0,5,6,0,4,9,13,0,17,5,0,0
12,0,4,5,7,0,0,6,3,5,6,3,0
4,2,3,7,35,9,8,3,5,3,9,0,0
12,0,5,7,17,13,18,9,1,10,8,2,0
11,1,10,5,1,4,8,20,3,6,9,0,0
6,2,9,8,5,0,0,8,1,8,10,4,2
5,2,8,11,36,7,4,3,2,5,6,0,0
8,3,11,10,18,19,24,4,1,5,10,2,0
14,2,6,9,1,0,6,22,1,10,4,0,0
7,0,4,12,9,0,0,5,2,10,9,5,0
4,3,5,8,36,5,12,3,1,2,7,0,1
8,1,3,9,15,15,21,12,2,13,6,2,0
10,2,11,4,0,3,4,11,2,14,9,1,1
6,0,4,8,4,0,0,7,5,6,6,1,0
5,2,6,10,38,6,5,5,1,9,11,1,0
7,5,11,9,18,24,13,9,4,8,11,2,1
18,2,10,9,0,7,5,11,2,11,10,1,1
9,1,8,8,3,0,0,7,2,5,10,3,3
4,1,4,9,41,8,2,1,3,5,11,1,1
3,2,16,8,16,23,16,10,1,9,10,3,2
12,0,15,5,0,6,5,12,2,8,10,0,0
6,5,5,8,2,0,0,4,1,5,5,0,2
4,1,0,7,40,1,6,3,1,2,6,3,0
2,0,7,5,18,20,23,9,2,8,6,0,0
13,0,14,5,0,5,5,16,2,13,7,1,0
4,1,6,4,5,0,0,8,0,10,8,3,1
2,4,8,6,41,5,7,5,3,7,12,0,0
2,2,12,9,14,23,18,7,1,12,9,1,1
13,2,8,8,0,3,4,11,2,9,12,1,0
6,1,7,6,5,0,0,8,2,5,9,1,5
3,2,5,6,44,9,5,4,1,3,8,0,0
8,1,13,7,10,18,21,10,0,11,8,1,0
10,2,13,10,1,2,5,11,1,13,8,0,0
5,3,3,9,4,0,0,12,5,7,6,2,3
1,1,4,7,43,4,8,5,2,6,11,0,0
8,1,9,3,13,19,21,10,2,14,11,0,0
11,1,13,10,0,4,4,10,3,8,10,1,0
8,2,8,8,6,0,0,6,1,5,10,3,3
7,2,9,11,39,11,7,6,3,4,7,0,0
7,1,16,10,15,14,17,7,1,8,8,0,0
11,3,10,11,0,8,3,14,1,14,7,0,1
7,4,11,10,5,0,0,5,2,7,9,3,1
3,1,3,11,40,6,4,0,1,5,11,3,0
9,2,10,10,14,20,19,8,0,12,7,2,0
14,1,9,9,1,2,9,13,1,11,9,1,0
7,1,1,9,5,0,0,7,3,3,8,2,2
2,1,4,6,35,6,6,5,2,5,8,0,1
6,1,12,5,19,15,20,5,2,15,6,1,0
9,4,14,7,1,7,5,9,3,10,6,1,0
7,1,6,11,5,0,1,3,1,2,6,3,1
6,2,5,8,41,12,6,3,2,2,2,0,1
17,2,12,10,12,18,17,7,1,11,6,0,0
18,3,6,11,2,3,4,11,1,11,7,0,1
2,2,4,8,5,0,0,3,1,5,8,4,2
6,3,4,7,37,7,8,5,2,4,4,0,1
6,1,17,11,18,14,20,14,1,14,10,0,0
6,1,9,9,0,6,5,14,2,10,11,0,1
3,1,6,7,6,0,0,4,2,5,11,3,5
4,1,6,5,34,8,7,6,1,8,6,2,0
9,5,11,6,20,20,15,4,1,15,10,0,1
13,2,14,9,0,5,5,10,0,10,11,0,0
7,3,8,9,6,0,0,8,2,2,8,4,3
4,2,5,8,39,10,9,7,1,1,9,1,0
10,3,7,11,15,14,19,12,2,18,6,2,1
10,1,11,10,0,4,4,12,4,10,9,0,0
6,1,1,4,4,0,0,7,2,3,10,3,3
5,1,7,9,35,8,9,5,2,3,10,1,0
7,1,8,10,20,14,15,7,2,7,9,1,1
8,1,11,6,1,5,8,13,0,7,4,0,2
5,3,4,5,3,0,1,6,1,6,4,1,1
6,1,1,8,39,2,9,7,3,2,6,0,0
5,1,12,6,17,14,23,6,2,10,7,0,0
13,2,8,8,1,6,6,14,0,14,6,1,0
11,1,2,9,6,0,0,5,3,6,8,4,0
3,2,6,9,34,11,2,4,0,3,6,1,1
10,0,9,10,19,15,16,9,5,4,5,0,0
8,0,15,7,1,4,11,13,1,13,9,0,0
4,1,8,8,5,0,1,12,1,3,11,3,1
4,1,5,9,44,7,7,2,0,3,6,1,1
7,1,9,9,10,19,19,7,1,14,3,0,1
15,3,8,6,1,4,4,16,1,8,10,1,0
6,1,5,8,9,0,0,7,1,5,7,3,0
7,1,8,9,30,10,6,3,4,3,7,1,0
3,3,14,7,18,12,19,12,1,9,9,1,0
6,2,11,9,3,3,8,16,4,13,9,0,0
11,1,6,10,3,2,0,5,3,4,9,3,0
3,3,8,9,39,6,9,6,1,4,11,0,0
6,1,8,9,16,15,17,11,2,14,5,1,1
16,5,10,10,2,3,8,10,2,8,9,1,1
4,1,5,10,2,1,1,7,0,3,8,1,0
5,1,5,7,43,6,3,4,1,4,5,0,0
6,1,8,10,12,19,22,3,0,12,7,1,0
14,1,10,4,3,5,5,13,3,10,5,3,0
4,2,4,7,7,0,0,10,1,7,9,2,6
3,0,7,5,41,13,10,4,5,7,9,0,1
8,2,12,6,12,15,16,13,1,11,8,0,0
12,1,8,9,0,3,3,15,3,8,11,0,1
9,1,4,7,4,0,0,5,5,5,10,1,0
1,1,2,8,35,5,7,7,2,6,11,0,1
10,0,10,7,19,18,12,6,2,11,9,0,1
14,4,11,8,2,8,9,9,2,9,9,2,0
12,1,7,10,3,0,1,8,2,10,10,4,4
4,2,4,9,43,6,9,2,3,8,6,3,0
6,2,10,11,14,16,21,14,1,16,11,1,0
12,5,12,7,0,3,5,12,1,12,11,1,0
4,1,4,9,6,0,0,10,1,3,10,3,3
6,0,7,9,33,9,5,3,4,8,10,2,0
13,3,10,10,19,16,16,7,1,10,11,1,1
13,1,13,10,2,8,6,11,1,15,9,3,2
6,1,11,10,3,0,0,6,4,6,11,3,1
9,0,3,12,43,7,5,8,2,6,8,1,1
8,2,20,10,13,20,17,7,3,13,11,2,0
9,3,7,11,1,5,6,10,1,9,11,0,1
6,2,5,11,4,0,0,3,2,6,9,4,4
8,1,5,8,42,4,4,9,1,5,9,2,1
6,2,11,10,14,16,30,6,2,11,9,2,0
10,2,11,9,0,3,3,16,1,12,9,0,1
11,3,5,9,6,0,0,4,1,5,5,3,3
4,2,3,9,39,8,12,3,1,2,5,1,0
6,2,14,9,14,18,12,9,2,15,5,1,0
12,0,12,9,1,2,7,7,1,9,8,2,0
7,4,2,9,5,1,0,5,1,5,8,3,0
4,1,2,10,38,7,6,3,0,7,5,1,0
4,0,7,4,17,21,15,8,0,8,9,0,0
18,2,9,4,0,6,5,10,0,5,5,1,0
16,2,6,8,5,0,0,6,2,6,6,2,1
3,4,2,11,41,11,3,8,0,3,7,1,1
4,0,13,9,14,20,17,7,3,4,6,5,1
14,1,13,5,0,5,4,20,7,12,5,0,1
7,1,7,9,8,0,0,3,5,8,12,4,2
6,1,6,6,33,10,9,2,0,4,10,1,0
8,2,12,11,19,17,11,9,1,11,10,1,0
7,0,7,8,0,8,5,9,1,8,10,0,2
14,1,10,6,2,0,0,10,0,8,9,1,1
6,1,4,11,40,6,5,4,1,7,11,0,0
5,2,11,8,17,22,16,5,1,9,10,1,0
17,2,12,9,1,3,7,11,1,14,10,0,2
6,2,4,9,5,0,1,8,2,6,10,5,2
6,0,2,10,35,9,5,7,3,5,7,0,1
7,2,14,6,19,20,12,6,1,9,10,0,1
10,3,14,8,1,8,5,10,1,6,9,0,1
11,1,3,8,4,0,1,4,0,5,5,1,1
4,1,4,10,42,7,7,3,1,2,6,0,1
12,1,6,5,12,19,19,9,1,8,5,2,0
21,0,8,8,2,3,4,16,2,12,4,0,1
13,1,6,10,4,1,0,6,7,4,9,2,4
3,8,3,10,37,3,9,2,3,7,10,0,0
6,2,14,11,17,14,24,10,2,8,9,0,0
7,2,10,10,2,5,5,16,0,13,11,3,0
11,4,6,9,7,0,0,5,1,7,4,5,1
5,3,5,9,36,10,10,4,3,5,8,0,0
9,3,12,11,16,13,15,8,0,10,7,1,0
9,3,13,11,1,7,4,12,3,11,7,3,0
9,2,7,11,2,0,1,4,3,5,9,2,3
2,2,5,10,43,7,3,7,2,1,8,1,0
10,3,7,5,15,18,21,3,0,11,6,0,0
12,2,12,10,0,4,7,13,2,15,4,1,0
9,1,4,9,7,0,0,4,4,7,7,1,0
9,5,8,7,37,9,9,6,1,3,9,0,1
9,4,10,11,15,14,16,12,2,7,10,1,0
14,3,10,11,1,5,6,10,1,12,7,4,0
6,1,10,11,4,0,1,7,1,9,8,2,2
2,1,5,10,36,3,7,2,1,7,8,1,0
4,2,9,11,20,20,17,12,2,13,9,0,0
17,3,13,9,0,9,4,13,2,7,10,0,1
11,3,6,10,5,0,0,8,0,9,10,5,1
6,2,5,11,29,5,10,5,4,4,11,0,0
8,1,6,11,26,15,15,6,4,11,11,0,0
9,2,6,8,0,5,10,9,1,11,9,3,1
6,1,6,8,5,0,0,6,1,8,5,5,3
2,0,7,4,35,7,7,7,1,4,6,0,1
3,0,7,6,20,14,20,4,5,16,9,1,0
12,2,12,5,0,4,8,10,1,5,6,0,0
8,1,3,9,4,0,0,7,1,6,3,3,2
1,3,4,6,43,8,3,5,2,7,5,4,0
6,2,11,6,11,15,25,10,3,8,9,1,1
8,2,10,4,2,3,5,16,4,16,9,0,0
4,2,8,8,4,0,1,5,2,6,11,4,1
4,3,2,7,32,5,7,7,1,3,10,2,0
6,1,9,8,21,12,20,11,1,7,10,0,0
10,3,10,9,3,8,7,14,2,11,7,2,0
8,1,8,8,3,0,1,8,2,7,8,3,3
3,3,5,8,42,6,6,4,0,4,11,1,0
9,0,10,9,15,23,15,9,1,10,6,2,0
13,3,7,8,0,5,5,11,2,7,9,0,0
10,2,5,6,3,0,0,8,4,8,5,7,2
8,3,5,8,39,7,9,2,2,3,8,0,0
12,3,12,11,17,24,9,9,2,10,10,0,2
10,1,13,10,1,5,5,7,1,7,7,1,0
11,1,6,10,4,0,1,3,0,5,5,1,3
6,2,2,9,34,6,9,4,1,4,7,0,1
7,1,10,5,22,13,21,9,1,11,6,0,1
7,1,13,10,0,5,6,18,2,12,6,0,0
11,1,4,9,9,0,0,6,3,3,10,5,4
4,2,1,9,35,11,8,1,1,7,7,1,0
10,0,14,8,14,13,20,9,1,9,6,0,1
6,1,12,6,2,3,4,13,2,11,8,0,0
7,1,3,10,5,1,0,5,1,9,7,7,1
3,2,6,8,34,9,7,2,2,3,8,2,0
5,2,9,6,21,13,18,12,2,15,7,1,0
10,2,9,4,0,5,8,11,2,10,11,1,2
4,0,6,8,5,0,0,10,1,6,10,5,0
6,1,5,7,33,5,9,2,0,5,8,0,1
3,3,7,7,21,16,17,10,4,11,9,0,0
6,1,10,6,1,7,6,11,2,11,6,1,1
10,0,6,4,3,0,0,5,1,9,10,4,0
7,2,2,8,45,6,9,4,2,4,7,0,1
6,0,10,9,12,24,16,8,2,12,9,2,0
14,2,13,5,0,3,2,14,1,1,8,0,1
4,4,7,9,8,0,0,5,0,2,4,3,1
5,0,4,7,36,9,8,7,0,11,8,0,1
9,3,10,6,16,17,16,9,3,14,9,2,0
11,1,14,8,0,6,4,14,1,11,11,0,1
7,1,3,10,8,0,0,7,3,4,8,4,1
9,2,2,7,35,8,8,6,2,6,11,0,1
9,0,9,8,17,17,19,10,3,15,11,0,0
